Oversikt over snøskredulykker;;;;;http://www.varsom.no/Util/login.aspx?ReturnUrl=/varsomui;;;;http://tst-www.varsom.no/Util/login.aspx?ReturnUrl=%2fvarsomui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GULMERKET: Celler med døde eller ukjent involverte;;;;;;;;;Hei igjen;;totalt ant.;;;;;;;"S Sender,Søkestand, Spade
I Ingen
? Ukjent";;vedvarende svakt lag hvis dette er bekreftet. Ellers bruk flakskred om dette er kjent. Alt. Skavl, løssnøskred, ukjent;;;;;;;;;;;;;;;;
Blå kolonner skal vises i sesongliste på varsom. Røde er obligatoriske.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Døde;Skredtatte;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse;Involvert;"Skadet/
omkommet";"Totalt 
begravd";"Delvis
begravd";"Tatt, 
men ikke
 begravd";"Nære på,
 men ikke 
tatt";Najonalitet;"Alder
(-årene)";Skredutstyr;"Middels til 
mye erfaring";type skred;skred-størrelse;guide;;;;;;;;;;;;;;
19.02.20;0;3;Ski;M;Fjellsenden-Fuglen;Valle;Tele.;215311;;Str.3 skred  utløst av skiløpere. 3 tatt, klarte å grave seg ut selv.;3;;;;3;;;;;;flakskred;3;;;;;;;;;;;;;;;
18.02.20;0;1;Ski;M;Rødtinden;Tromsø;Troms;215062;;Skiløper utløst skred. Ført noen meter. Ikke skadet.;1;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
18.02.20;0;0;Ski;M;Tuvegga;Stranda;M&R;215037;;Skiløperutløst str.1 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
18.02.20;0;0;Snøbrett;M;Heggmotinden;Bodø;Nord.;215187;;Str.1-1,5 skred utløst av snøbrettkjører. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
15.02.20;0;1;Ski;M;Tronstadnakken;Stranda;S&F;213572;;Skiløperutløst str.1 skred. En tatt. Ikke skadet.;1;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
15.02.20;0;0;Ski;M;Brubrekktinden;Hadsel;Nord.;213555;;Skiløperutløst str.1 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
15.02.20;0;0;Ski;M;Mjølkehaugane;Voss;Hord.;213597;;Skiløperutløst str.1 skred. Ikke tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
15.02.20;0;1;Ski;M;Framrustehovden;Skjåk;Hedm.;213583;;Skiløperutløst str.1 skred. Ble fraktet et stykke. Ikke skadet.;1;;;;1;;;;;;flakskred;1;;;;;;;;;;;;;;;
15.02.20;0;0;Ski;M;Lilandsdalen;Vågan;Nord.;213517;;Skiløperutløst str.1 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
15.02.20;0;0;Ski offpist;M;Tromsø skisenter;Tromsø;Troms;213523;;Skiløperutløst str.1 skred i alpinanlegg. Ingen tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
13.02.20;0;1;Ski;M;Blåfjellet;Rauma;M&R;213206;;Skiløperutløst str.2 skred. To personer involverte, en tatt. Ingen skadet,;2;;;;1;1;;;;;flakskred;2;;;;;;;;;;;;;;;
13.02.20;0;1;Ski;M;Fursetnakken;Stranda;M&R;213125;;Skiløper utløst str.1,5 skred etter hopp fra skavl. Ført med litt nedover. Kom seg ut ved egen hjelp.;1;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
11.02.20;0;0;Ski;M;Geitanosi;Voss;Hord.;212698;;Skiløperutløst str.2 skred i tett snøvær.;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
10.02.20;0;1;Snøbrett;M;Segelstadssæterkampen;Ringebu;Oppl.;212532;;Str.1,5 skred utløst av snøbrettkjører. Ført litt nedover. Kom seg ut ved egen hjelp.;1;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
06.02.20;0;0;Ski;M;Heggmotinden;Bodø;Nord.;211694;;Personutløst str.1,5 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
03.02.20;0;0;Ski;M;Skjørstadhovden;Oppdal;S-T;211174;;Skred utløst i heng med mange skispor. Vanskelig å vite hvor mange som var involverte. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
02.02.20;0;0;Ski;M;Kvittinden;Vågan;Nord.;210993;;Lita gruppe fjernutløst strl.1 skred. Ingen tatt.;2;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
02.02.20;0;0;Ski;M;Norefjell;Flå;Busk.;211021;;Skiløperutløst skred. Ingen tatt.;2;;;;;2;;;;;flakskred;2;;;;;;;;;;;;;;;
01.02.20;0;0;Ski;M;Fagernesfjellet;Narvik;Nord.;210810;;Personutløst str.1,5 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
31.01.20;0;1;Ski;M;Nonsholten;Sogndal;S&F;210683;;Skiløperutløst str.2 skred.  3 personer involverte. En begravd til knes. Ingen skadet.;3;;;1;;2;;;;;flakskred;2;;;;;;;;;;;;;;;
31.01.20;0;0;Ski;M;Råsanuten;Vinje;Tele.;210824;;Skred utløst av 3 skikjørere. Ingen tatt.;3;;;;;3;;;;;flakskred;1.5;;;;;;;;;;;;;;;
29.01.20;0;0;Fots;N;Hammerfest;Hammerfest;Finn.;210384;;Naturlig utløst str.2 skred. Ingen tatt, men nære på.;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
26.01.20;0;0;Ski;M;Butinden;Evenes;Nord.;209939;;Fjernutløst str.1 skred av skiløper. Ingen tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
26.01.20;0;1;Ski;M;Skittentinden;Tromsø;Troms;209907;;Skiløperutløst str.1,5 skred i bratt renne. En tatt, men ikke begravd. ;2;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
25.01.20;0;1;Ski;M;Finnkollen;Tromsø;Troms;209729;;Skiløper utløst str.1,5 skred. Ble tatt og begravd til livet. Kom seg ut med egen hjelp.;1;;;1;;;;;;;flakskred;2;;;;;;;;;;;;;;;
25.01.20;0;0;Ski;M;Finnheimfjellet;Tromsø;Troms;209741;;Skiløperutløst str.2 skred. Ingen tatt. ;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
25.01.20;0;1;Ski;M;Svanfjellet;Torsken;Troms;209769;;To str.1,5 skred utløst av 2 skikjørere. En tatt og fraktet nedover, men ikke begravd.;2;;;;1;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
21.01.20;0;0;Ski offpist;M;Tromsø alpinsenter;Tromsø;Troms;209122;;En gjeng barn utløste str.1,5 skred i alpinalegget. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
18.01.20;0;0;Ski;M;Varden;Vågan;Nord.;207665;;Skiløperutløst str.1 skred. 2 personer involverte, men ingen tatt;2;;;;;2;;;;;flakskred;1;;;;;;;;;;;;;;;
17.01.20;0;3;Ski;M;Stavskarhytta;Valle;V-A;214989;;Tre personer tatt og begravd. Klarte å grave seg ut selv.;3;;;3;;;;;;;flakskred;;;;;;;;;;;;;;;;
13.01.20;0;2;Ski;M;Sørvikfjellet;Harstad;Troms;206806;;Skiløperutløst str.1,5 skred.Fotograf i utløp ble også tatt. Ingen begravd;2;;;;2;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
26.12.19;0;0;Ski;M;Hensfjellet;Vand;Oppl.;204319;;Skiløperutløst str.1,5 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
26.12.19;0;0;Ski;M;Nibbi;Hemsedal;Busk.;204302;;Skiløperutløst str.2 skred.;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
26.12.19;0;0;Ski;M;Kyrkjebønøse;Hemsedal;Busk.;204326;;Skiløperutløst str.2 skred. Ingen skadet.;1;;;;;1;;;;;flakskred;2;;;;;;;;;;;;;;;
25.12.19;0;1;Ski;M;Gaustadtoppen;Tinn;Tele.;204516;;Skiløperutløst str.2 skred. En tatt. Ingen skadet.;1;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
25.12.19;0;0;Ski offpist;M;Totten -Hemsedal skisenter;Hemsedal;Busk.;204231;;Skiløperutløst str.1,5 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
15.12.19;0;0;Ski;M;Mannhaudalen;Tromsø;Troms;202169;;2 skikjørere utløste str.1 skred. Tatt, men ikke skadet.;2;;;;;2;;;;;flakskred;1.5;;;;;;;;;;;;;;;
13.12.19;0;1;Ski;M;Olahans fjellet;Jølster;S&F;201961;;Skiløperutløst str.1 skred. En tatt. Ikke skadet.;1;;;;1;;;;;;flakskred;1;;;;;;;;;;;;;;;
11.12.19;0;0;Ski offpist;M;Hemsedal skisenter;Hensedal;Busk.;201646;;Skiløperutløst str.1,5 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
09.12.19;0;1;Ski offpist;M;Myrkdalen;Voss;Hord.;201350;;Skilperutløst str.1 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1.5;;;;;;;;;;;;;;;
08.12.19;0;0;Ski;M;Sandtinden;Vestnes;M&R;201232;;Skiløperutløst str.1 skred. Ikke tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
06.12.19;0;0;Fots;M;Skåla;Lærdal;S&F;201000;;Jeger fjernutløste skred. Ikke tatt;1;;;;;1;;;;;;;;;;;;;;;;;;;;;
01.12.19;0;0;Ski;M;Rødtinden;Tromsø;Troms;200193;;To skiløpere utløste skred. Ingen tatt.;2;;;;;2;norsk;;;;flakskred;1;;;;;;;;;;;;;;;
01.12.19;0;2;Ski;M;Storlidalen;Oppdal;S-T;200156;;To skiløpre tatt av skred, men ikke helt begravd. Kom seg løs ved hjelp av de andre i turlaget;2;;;2;;;norsk;;;;flakskred;2;;;;;;;;;;;;;;;
14.11.19;0;1;Ski;M;Steindalsnosi;Luster;S&F;198202;;To skiløpere fjernuløste skred. En tatt men ikke begravd. Kom seg løs.;2;;;;1;;norsk;;;;;2;;;;;;;;;;;;;;;
